Title,Publisher,Valuable,Count,IDnum
1920 Wall Street,Looping Games,TRUE,1,1989
1942 USS Yorktown,Looping Games,TRUE,2,3378
1987 Channel Tunnel,Looping Games,TRUE,2,3379
Get Bit! Collectors Edition,Mayday Games,TRUE,1,3115
3 Laws of Robotics,Floodgate Games,TRUE,1,3324
5-Minute Marvel,Spin Master,TRUE,1,3191
51st State: Master Set,Portal Games,TRUE,1,1724
5211,Next Move Games,TRUE,1,3290
6 nimmt!,Mayfair Games,TRUE,1,1291
7 Wonders,Repos Production,TRUE,7,2873
7 Wonders,Repos Production,TRUE,7,2873
7 Wonders,Repos Production,TRUE,7,2873
7 Wonders Duel,Repos Production,TRUE,4,2830
7 Wonders: Armada,Repos Production,TRUE,1,2919
A Castle for All Seasons,Rio Grande Games,TRUE,1,8
A Fake Artist Goes to New York,Oink Games,TRUE,2,2429
A Feast for Odin,Z-Man Games,TRUE,1,1811
A Game of Thrones: Catan – Brotherhood of the Watch,Fantasy Flight Games,TRUE,1,2061
A Game of Thrones: Catan – Brotherhood of the Watch,Fantasy Flight Games,TRUE,1,2061
A Handful of Stars,Treefrog Games,TRUE,1,1996
A Pleasant Journey to Neko,The Wood Games,TRUE,1,2650
A War of Whispers,Starling Games,TRUE,1,3189
Abandon All Artichokes,Gamewright,TRUE,1,3568
Abomination: The Heir of Frankenstein,Plaid Hat Games,TRUE,2,2971
Action News: The Game of Television News,Guts And Glory,TRUE,2,3186
Adrenaline,Cge,TRUE,1,2158
Adrenaline,Cge,TRUE,1,2938
Adventure Games: The Dungeon,Kosmos,TRUE,2,3039
Adventure Land,Haba,TRUE,1,3239
Aerion,Z-Man Games,TRUE,2,2838
Aftermath,Plaid Hat Games,TRUE,3,3248
Age of Civilization,Ice Makes,TRUE,1,2365
Agricola,Lookout Games,TRUE,4,2792
"Air, Land & Sea",Arcane Wonders,TRUE,1,3125
Airship City,Analog Lunchbox,TRUE,4,2678
Alhambra,Queen Games,TRUE,1,2172
Alien Frontiers,Game Salute,TRUE,1,1547
All Manor of Evil,Kolossal Games,TRUE,1,3482
Alubari: A Nice Cup of Tea,Studio H,TRUE,4,3148
Anchors Aweigh!,Z-Man Games,TRUE,1,2472
Android: Netrunner,Fantasy Flight Games,TRUE,1,1310
Animouv,Djeco,TRUE,2,3055
Ankh'or,Space Cowboys,TRUE,2,3036
Anomaly,Prime,TRUE,2,3147
Anomia Kids,Everest,TRUE,1,3330
Antiquity,Splotter,TRUE,1,2149
Apotheca,Knapsack,TRUE,1,1637
Apples To Apples,Hasbro,TRUE,1,37
Appletters,Bananagrams,TRUE,1,40
Aquarius,Looney Labs,TRUE,1,42
Aquatica,Cosmo Drone Games,TRUE,3,3408
Arboretum,Renegade Game Studios,TRUE,1,2398
Arcadia Quest: Inferno,Cmon,TRUE,1,1726
Architects of the West Kingdom,Renegade Game Studios,TRUE,1,2461
Architectura,Arcane Wonders,TRUE,1,3153
Archmage,Starling Games,TRUE,1,2327
Archmage: Ascendant,Starling Games,TRUE,1,3141
Arkham Horror,Fantasy Flight Games,TRUE,3,48
Arkham Horror: Final Hour,Fantasy Flight Games,TRUE,3,3005
Arkham Noir: Case #1 – The Witch Cult Murders,Ludonova,TRUE,2,3026
Arraial,Mebo,TRUE,1,2693
ArtSee,Renegade Game Studios,TRUE,1,2951
Atelier: The Painter's Studio,Aeg,TRUE,1,3295
Atlantis,Mayfair Games,TRUE,1,55
Atlantis Rising,Elf Creek Games,TRUE,1,3497
Aura,Breaking Games,TRUE,1,1646
Ausser Rand & Band,Zoch Zum Spielen,TRUE,3,3459
Automata NOIR,Level 99 Games,TRUE,1,1844
Avalon,Indie Boards & Cards,TRUE,1,2828
Azul,Next Move Games,TRUE,3,2017
Azul,Next Move Games,TRUE,3,2017
Azul,Next Move Games,TRUE,3,2017
Azul: Summer Pavilion,Next Move Games,TRUE,3,3442
Babylonia,Ludonova,TRUE,1,3409
Bad Bones,Sit! Down!,TRUE,1,2684
Bad Medicine,Formal Ferret Games,TRUE,1,1302
Bad Medicine,Formal Ferret Games,TRUE,1,1302
Bahamas,Matagot,TRUE,1,3267
Bamboleo,Zoch Zum Spielen,TRUE,1,3002
Banana Bandits,Capstone Games,TRUE,1,1768
Bananagrams,Bananagrams,TRUE,2,67
Bargain Quest,Jonathan Ying,TRUE,1,2089
Barrage,Cranio Creations,TRUE,3,3543
Batman: The Animated Series Dice Game,Steve Jackson Games,TRUE,1,1498
Batman: The Animated Series Dice Game,Steve Jackson Games,TRUE,1,1498
BattleCON Fighting System,Level 99 Games,TRUE,1,3562
Battle for Rokugan,Fantasy Flight Games,TRUE,1,2070
Battle of the Nations 1813,Clicker Spiele,TRUE,2,3453
Battle Penguins,Ultrapro Entertainment,TRUE,1,2807
Battle Sheep,Blue Orange Games,TRUE,1,3305
Battlelands,Plaid Hat Games,TRUE,2,3024
Beasty Bar,Zoch,TRUE,1,2368
Beasty Bar,Zoch,TRUE,1,2368
Bees: The Secret Kingdom,Awaken Relms Lite,TRUE,2,3222
Before There Were Stars...,Smirk & Laughter Games,TRUE,1,2501
Beta Colony,Rio Grande Games,TRUE,1,3252
Betrayal at House on the Hill,Avalon Hill,TRUE,1,1455
Between Two Castles of Mad King Ludwig,Stonemaier Games,TRUE,1,2449
